Country,FullName,CityName,OblName,City,lang_code
RU,12 Лет Октября,12 Лет Октября,TUL,12 Лет Октября,ru
RU,"8 Марта, Северский р-н, Краснодарский край","8 Марта, Северский р-н",KDA,8 Марта,ru
RU,"5663234234, Москва",5663234234,MOW,5663234234,ru
RU,"1 Мая мкр., округ Балашиха, Московская обл.","1 Мая мкр., округ Балашиха",MOS,1 Мая мкр.,ru
RU,"1-еТуркменево, Башкортостан респ.",1-еТуркменево,BA,1-е Туркменево,ru
RU,"1-й Рабочий Поселок, п. Внуковское, Московская обл","1-й Рабочий Поселок, п. Внуковское",MOS,1-й Рабочий Поселок,ru
RU,"1-й Россошинский, Ростовская обл.",1-й Россошинский,ROS,1-й Россошинский,ru
RU,"1-я Гостомля, Курская обл.",1-я Гостомля,KRS,1-я Гостомля,ru
RU,"17 Лет Октября, Майкопский р-н, Адыгея респ.","17 Лет Октября, Майкопский р-н",AD,17 Лет Октября,ru
RU,"2-ая Смирновка, Солнечногорский район, Московская ","2-ая Смирновка, Солнечногорский район",MOS,2-ая Смирновка,ru
RU,"2-го участка института им Докучаева, Воронежская о",2-го участка института им Докучаева,VOR,2-го участка института им Докучаева,ru
RU,"2-й Бисеровский Участок, Ногинский р-н, Московская","2-й Бисеровский Участок, Ногинский р-н",MOS,2-й Бисеровский Участок,ru
RU,"2-я Александровка, Мясниковский р-н, Ростовская об","2-я Александровка, Мясниковский р-н",ROS,2-я Александровка,ru
RU,"2-я пристань, Мариинский р-н, Кемеровская обл.","2-я пристань, Мариинский р-н",KEM,2-я пристань,ru
RU,"47 км МКАД, Московская обл.",47 км МКАД,MOS,47 км МКАД,ru
RU,"65 Км, Искитимский р-н, Новосибирская обл.","65 Км, Искитимский р-н",NVS,65 Км,ru
RU,71 км казарма,71 км казарма,BEL,71 км казарма,ru
RU,8-е Марта,8-е Марта,KEM,8-е Марта,ru
RU,Абабурово,Абабурово,MOW,Абабурово,ru
RU,Абага Центральная,Абага Центральная,SA,Абага Центральная,ru
RU,Абагур,Абагур,KEM,Абагур,ru
RU,Абадзехская,Абадзехская,AD,Абадзехская,ru
RU,Абаза,Абаза,KK,Абаза,ru
RU,Абакан,Абакан,KK,Абакан,ru
RU,Абаканово,Абаканово,VLG,Абаканово,ru
RU,Абалаково,Абалаково,KIA,Абалаково,ru
RU,Абалмасов,Абалмасов,BEL,Абалмасов,ru
RU,Абан,Абан,KIA,Абан,ru
RU,Абатское,Абатское,TYU,Абатское,ru
RU,Абашево,Абашево,PNZ,Абашево,ru
RU,Аббакумово,Аббакумово,MOS,Аббакумово,ru
RU,Аббакумово,Аббакумово,VLA,Аббакумово,ru
RU,Абганерово,Абганерово,VGG,Абганерово,ru
RU,Абдрахманово,Абдрахманово,TA,Абдрахманово,ru
RU,Абдулино,Абдулино,ORE,Абдулино,ru
RU,Абзаково,Абзаково,BA,Абзаково,ru
RU,Абзаново,Абзаново,BA,Абзаново,ru
RU,Абинск,Абинск,KDA,Абинск,ru
RU,Аблаево,Аблаево,BA,Аблаево,ru
RU,Аборино,Аборино,MOS,Аборино,ru
RU,Абрам-Мыс,Абрам-Мыс,MUR,Абрам-Мыс,ru
RU,Абрамовка,Абрамовка,ROS,Абрамовка,ru
RU,Абрамовка,Абрамовка,ULY,Абрамовка,ru
RU,Абрамовка,Абрамовка,VOR,Абрамовка,ru
RU,Абрамово,Абрамово,NIZ,Абрамово,ru
RU,Абрамово,Абрамово,NVS,Абрамово,ru
RU,Абрамово,Абрамово,SVE,Абрамово,ru
RU,Абрау-Дюрсо,Абрау-Дюрсо,KDA,Абрау-Дюрсо,ru
RU,Абрикосовка,Абрикосовка,CRI,Абрикосовка,ru
RU,Абрикосово,Абрикосово,CRI,Абрикосово,ru
RU,Абросово,Абросово,PSK,Абросово,ru
RU,Абрым-мыс,Абрым-мыс,MUR,Абрым-мыс,ru
RU,Абсалямово,Абсалямово,TA,Абсалямово,ru
RU,Абултаево,Абултаево,KGN,Абултаево,ru
RU,Абызово,Абызово,CU,Абызово,ru
RU,Аван,Аван,KHA,Аван,ru
RU,Авангард,Авангард,PRI,Авангард,ru
RU,Авангард,Авангард,SAM,Авангард,ru
RU,Авангард,Авангард,TUL,Авангард,ru
RU,Аввакумово,Аввакумово,TVE,Аввакумово,ru
RU,Августовка,Августовка,SAM,Августовка,ru
RU,Авдеева,Авдеева,KRS,Авдеева,ru
RU,Авдеевка,Авдеевка,BEL,Авдеевка,ru
RU,Авдеево,Авдеево,MOS,Авдеево,ru
RU,Авдон,Авдон,BA,Авдон,ru
RU,Авдотьинка,Авдотьинка,RYA,Авдотьинка,ru
RU,Авдотьино,Авдотьино,KOS,Авдотьино,ru
RU,Авдотьино,Авдотьино,MOS,Авдотьино,ru
RU,Авдулово,Авдулово,LIP,Авдулово,ru
RU,Авдулово-1,Авдулово-1,MOS,Авдулово-1,ru
RU,Авдулово-2,Авдулово-2,MOS,Авдулово-2,ru
RU,Аверино,Аверино,SVE,Аверино,ru
RU,Аверьяновка,Аверьяновка,DA,Аверьяновка,ru
RU,Авиагородок,Авиагородок,MOS,Авиагородок,ru
RU,Авиагородок,Авиагородок,ORE,Авиагородок,ru
RU,Авиатор,Авиатор,ALT,Авиатор,ru
RU,Авило-Успенка,Авило-Успенка,ROS,Авило-Успенка,ru
RU,Авилов,Авилов,VGG,Авилов,ru
RU,Авиловка,Авиловка,BEL,Авиловка,ru
RU,Авнюгский,Авнюгский,ARK,Авнюгский,ru
RU,Аврово,Аврово,LEN,Аврово,ru
RU,Авсюнино,Авсюнино,MOS,Авсюнино,ru
